,name,setting,unit,category,short_desc,extra_desc,context,vartype,source,min_val,max_val,enumvals,boot_val,reset_val,sourcefile,sourceline,pending_restart
53,data_directory_mode,0700,,Preset Options,Shows the mode of the data directory.,The parameter value is a numeric mode specification in the form accepted by the chmod and umask system calls. (To use the customary octal format the number must start with a 0 (zero).),internal,integer,default,0,511,,448,448,,,False
54,data_sync_retry,off,,Error Handling,Whether to continue running after a failure to sync data files.,,postmaster,bool,default,,,,off,off,,,False
55,DateStyle,"ISO, MDY",,Client Connection Defaults / Locale and Formatting,Sets the display format for date and time values.,Also controls interpretation of ambiguous date inputs.,user,string,configuration file,,,,"ISO, MDY","ISO, MDY",/var/lib/postgresql/data/postgresql.conf,694.0,False
56,db_user_namespace,off,,Connections and Authentication / Authentication,Enables per-database user names.,,sighup,bool,default,,,,off,off,,,False
57,deadlock_timeout,1000,ms,Lock Management,Sets the time to wait on a lock before checking for deadlock.,,superuser,integer,default,1,2147483647,,1000,1000,,,False
58,debug_assertions,off,,Preset Options,Shows whether the running server has assertion checks enabled.,,internal,bool,default,,,,off,off,,,False
59,debug_discard_caches,0,,Developer Options,Aggressively flush system caches for debugging purposes.,,superuser,integer,default,0,0,,0,0,,,False
60,debug_pretty_print,on,,Reporting and Logging / What to Log,Indents parse and plan tree displays.,,user,bool,default,,,,on,on,,,False
61,debug_print_parse,off,,Reporting and Logging / What to Log,Logs each query's parse tree.,,user,bool,default,,,,off,off,,,False
62,debug_print_plan,off,,Reporting and Logging / What to Log,Logs each query's execution plan.,,user,bool,default,,,,off,off,,,False
63,debug_print_rewritten,off,,Reporting and Logging / What to Log,Logs each query's rewritten parse tree.,,user,bool,default,,,,off,off,,,False
64,default_statistics_target,100,,Query Tuning / Other Planner Options,Sets the default statistics target.,This applies to table columns that have not had a column-specific target set via ALTER TABLE SET STATISTICS.,user,integer,default,1,10000,,100,100,,,False
65,default_table_access_method,heap,,Client Connection Defaults / Statement Behavior,Sets the default table access method for new tables.,,user,string,default,,,,heap,heap,,,False
66,default_tablespace,,,Client Connection Defaults / Statement Behavior,Sets the default tablespace to create tables and indexes in.,An empty string selects the database's default tablespace.,user,string,default,,,,,,,,False
67,default_text_search_config,pg_catalog.english,,Client Connection Defaults / Locale and Formatting,Sets default text search configuration.,,user,string,configuration file,,,,pg_catalog.simple,pg_catalog.english,/var/lib/postgresql/data/postgresql.conf,717.0,False
68,default_toast_compression,pglz,,Client Connection Defaults / Statement Behavior,Sets the default compression method for compressible values.,,user,enum,default,,,"['pglz', 'lz4']",pglz,pglz,,,False
69,default_transaction_deferrable,off,,Client Connection Defaults / Statement Behavior,Sets the default deferrable status of new transactions.,,user,bool,default,,,,off,off,,,False
70,default_transaction_isolation,read committed,,Client Connection Defaults / Statement Behavior,Sets the transaction isolation level of each new transaction.,,user,enum,default,,,"['serializable', 'repeatable read', 'read committed', 'read uncommitted']",read committed,read committed,,,False
71,default_transaction_read_only,off,,Client Connection Defaults / Statement Behavior,Sets the default read-only status of new transactions.,,user,bool,default,,,,off,off,,,False
72,dynamic_library_path,$libdir,,Client Connection Defaults / Other Defaults,Sets the path for dynamically loadable modules.,"If a dynamically loadable module needs to be opened and the specified name does not have a directory component (i.e., the name does not contain a slash), the system will search this path for the specified file.",superuser,string,default,,,,$libdir,$libdir,,,False
73,dynamic_shared_memory_type,posix,,Resource Usage / Memory,Selects the dynamic shared memory implementation used.,,postmaster,enum,configuration file,,,"['posix', 'sysv', 'mmap']",posix,posix,/var/lib/postgresql/data/postgresql.conf,150.0,False
74,effective_cache_size,524288,8kB,Query Tuning / Planner Cost Constants,Sets the planner's assumption about the total size of the data caches.,"That is, the total size of the caches (kernel cache and shared buffers) used for PostgreSQL data files. This is measured in disk pages, which are normally 8 kB each.",user,integer,default,1,2147483647,,524288,524288,,,False
75,effective_io_concurrency,1,,Resource Usage / Asynchronous Behavior,Number of simultaneous requests that can be handled efficiently by the disk subsystem.,,user,integer,default,0,1000,,1,1,,,False
76,enable_async_append,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of async append plans.,,user,bool,default,,,,on,on,,,False
77,enable_bitmapscan,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of bitmap-scan plans.,,user,bool,default,,,,on,on,,,False
78,enable_gathermerge,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of gather merge plans.,,user,bool,default,,,,on,on,,,False
79,enable_hashagg,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of hashed aggregation plans.,,user,bool,default,,,,on,on,,,False
80,enable_hashjoin,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of hash join plans.,,user,bool,default,,,,on,on,,,False
81,enable_incremental_sort,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of incremental sort steps.,,user,bool,default,,,,on,on,,,False
82,enable_indexonlyscan,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of index-only-scan plans.,,user,bool,default,,,,on,on,,,False
83,enable_indexscan,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of index-scan plans.,,user,bool,default,,,,on,on,,,False
84,enable_material,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of materialization.,,user,bool,default,,,,on,on,,,False
85,enable_memoize,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of memoization.,,user,bool,default,,,,on,on,,,False
86,enable_mergejoin,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of merge join plans.,,user,bool,default,,,,on,on,,,False
87,enable_nestloop,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of nested-loop join plans.,,user,bool,default,,,,on,on,,,False
88,enable_parallel_append,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of parallel append plans.,,user,bool,default,,,,on,on,,,False
89,enable_parallel_hash,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of parallel hash plans.,,user,bool,default,,,,on,on,,,False
90,enable_partition_pruning,on,,Query Tuning / Planner Method Configuration,Enables plan-time and execution-time partition pruning.,Allows the query planner and executor to compare partition bounds to conditions in the query to determine which partitions must be scanned.,user,bool,default,,,,on,on,,,False
91,enable_partitionwise_aggregate,off,,Query Tuning / Planner Method Configuration,Enables partitionwise aggregation and grouping.,,user,bool,default,,,,off,off,,,False
92,enable_partitionwise_join,off,,Query Tuning / Planner Method Configuration,Enables partitionwise join.,,user,bool,default,,,,off,off,,,False
93,enable_seqscan,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of sequential-scan plans.,,user,bool,default,,,,on,on,,,False
94,enable_sort,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of explicit sort steps.,,user,bool,default,,,,on,on,,,False
95,enable_tidscan,on,,Query Tuning / Planner Method Configuration,Enables the planner's use of TID scan plans.,,user,bool,default,,,,on,on,,,False
96,escape_string_warning,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,Warn about backslash escapes in ordinary string literals.,,user,bool,default,,,,on,on,,,False
97,event_source,PostgreSQL,,Reporting and Logging / Where to Log,Sets the application name used to identify PostgreSQL messages in the event log.,,postmaster,string,default,,,,PostgreSQL,PostgreSQL,,,False
98,exit_on_error,off,,Error Handling,Terminate session on any error.,,user,bool,default,,,,off,off,,,False
99,external_pid_file,,,File Locations,Writes the postmaster PID to the specified file.,,postmaster,string,default,,,,,,,,False
100,extra_float_digits,1,,Client Connection Defaults / Locale and Formatting,Sets the number of digits displayed for floating-point values.,"This affects real, double precision, and geometric data types. A zero or negative parameter value is added to the standard number of digits (FLT_DIG or DBL_DIG as appropriate). Any value greater than zero selects precise output mode.",user,integer,default,-15,3,,1,1,,,False
101,force_parallel_mode,off,,Developer Options,Forces use of parallel query facilities.,"If possible, run query using a parallel worker and with parallel restrictions.",user,enum,default,,,"['off', 'on', 'regress']",off,off,,,False
102,from_collapse_limit,8,,Query Tuning / Other Planner Options,Sets the FROM-list size beyond which subqueries are not collapsed.,The planner will merge subqueries into upper queries if the resulting FROM list would have no more than this many items.,user,integer,default,1,2147483647,,8,8,,,False
103,fsync,on,,Write-Ahead Log / Settings,Forces synchronization of updates to disk.,The server will use the fsync() system call in several places to make sure that updates are physically written to disk. This insures that a database cluster will recover to a consistent state after an operating system or hardware crash.,sighup,bool,default,,,,on,on,,,False
104,full_page_writes,on,,Write-Ahead Log / Settings,Writes full pages to WAL when first modified after a checkpoint.,"A page write in process during an operating system crash might be only partially written to disk.  During recovery, the row changes stored in WAL are not enough to recover.  This option writes pages when first modified after a checkpoint to WAL so full recovery is possible.",sighup,bool,default,,,,on,on,,,False
105,geqo,on,,Query Tuning / Genetic Query Optimizer,Enables genetic query optimization.,This algorithm attempts to do planning without exhaustive searching.,user,bool,default,,,,on,on,,,False
106,geqo_effort,5,,Query Tuning / Genetic Query Optimizer,GEQO: effort is used to set the default for other GEQO parameters.,,user,integer,default,1,10,,5,5,,,False
107,geqo_generations,0,,Query Tuning / Genetic Query Optimizer,GEQO: number of iterations of the algorithm.,Zero selects a suitable default value.,user,integer,default,0,2147483647,,0,0,,,False
108,geqo_pool_size,0,,Query Tuning / Genetic Query Optimizer,GEQO: number of individuals in the population.,Zero selects a suitable default value.,user,integer,default,0,2147483647,,0,0,,,False
109,geqo_seed,0,,Query Tuning / Genetic Query Optimizer,GEQO: seed for random path selection.,,user,real,default,0,1,,0,0,,,False
110,geqo_selection_bias,2,,Query Tuning / Genetic Query Optimizer,GEQO: selective pressure within the population.,,user,real,default,1.5,2,,2,2,,,False
111,geqo_threshold,12,,Query Tuning / Genetic Query Optimizer,Sets the threshold of FROM items beyond which GEQO is used.,,user,integer,default,2,2147483647,,12,12,,,False
112,gin_fuzzy_search_limit,0,,Client Connection Defaults / Other Defaults,Sets the maximum allowed result for exact search by GIN.,,user,integer,default,0,2147483647,,0,0,,,False
113,gin_pending_list_limit,4096,kB,Client Connection Defaults / Statement Behavior,Sets the maximum size of the pending list for GIN index.,,user,integer,default,64,2147483647,,4096,4096,,,False
114,hash_mem_multiplier,1,,Resource Usage / Memory,Multiple of work_mem to use for hash tables.,,user,real,default,1,1000,,1,1,,,False
115,hba_file,/var/lib/postgresql/data/pg_hba.conf,,File Locations,"Sets the server's ""hba"" configuration file.",,postmaster,string,override,,,,,/var/lib/postgresql/data/pg_hba.conf,,,False
116,hot_standby,on,,Replication / Standby Servers,Allows connections and queries during recovery.,,postmaster,bool,default,,,,on,on,,,False
117,hot_standby_feedback,off,,Replication / Standby Servers,Allows feedback from a hot standby to the primary that will avoid query conflicts.,,sighup,bool,default,,,,off,off,,,False
118,huge_page_size,0,kB,Resource Usage / Memory,The size of huge page that should be requested.,,postmaster,integer,default,0,2147483647,,0,0,,,False
119,huge_pages,try,,Resource Usage / Memory,Use of huge pages on Linux or Windows.,,postmaster,enum,default,,,"['off', 'on', 'try']",try,try,,,False
120,ident_file,/var/lib/postgresql/data/pg_ident.conf,,File Locations,"Sets the server's ""ident"" configuration file.",,postmaster,string,override,,,,,/var/lib/postgresql/data/pg_ident.conf,,,False
121,idle_in_transaction_session_timeout,0,ms,Client Connection Defaults / Statement Behavior,"Sets the maximum allowed idle time between queries, when in a transaction.",A value of 0 turns off the timeout.,user,integer,default,0,2147483647,,0,0,,,False
122,idle_session_timeout,0,ms,Client Connection Defaults / Statement Behavior,"Sets the maximum allowed idle time between queries, when not in a transaction.",A value of 0 turns off the timeout.,user,integer,default,0,2147483647,,0,0,,,False
123,ignore_checksum_failure,off,,Developer Options,Continues processing after a checksum failure.,"Detection of a checksum failure normally causes PostgreSQL to report an error, aborting the current transaction. Setting ignore_checksum_failure to true causes the system to ignore the failure (but still report a warning), and continue processing. This behavior could cause crashes or other serious problems. Only has an effect if checksums are enabled.",superuser,bool,default,,,,off,off,,,False
124,ignore_invalid_pages,off,,Developer Options,Continues recovery after an invalid pages failure.,"Detection of WAL records having references to invalid pages during recovery causes PostgreSQL to raise a PANIC-level error, aborting the recovery. Setting ignore_invalid_pages to true causes the system to ignore invalid page references in WAL records (but still report a warning), and continue recovery. This behavior may cause crashes, data loss, propagate or hide corruption, or other serious problems. Only has an effect during recovery or in standby mode.",postmaster,bool,default,,,,off,off,,,False
125,ignore_system_indexes,off,,Developer Options,Disables reading from system indexes.,"It does not prevent updating the indexes, so it is safe to use.  The worst consequence is slowness.",backend,bool,default,,,,off,off,,,False
126,in_hot_standby,off,,Preset Options,Shows whether hot standby is currently active.,,internal,bool,default,,,,off,off,,,False
127,integer_datetimes,on,,Preset Options,Shows whether datetimes are integer based.,,internal,bool,default,,,,on,on,,,False
128,IntervalStyle,postgres,,Client Connection Defaults / Locale and Formatting,Sets the display format for interval values.,,user,enum,default,,,"['postgres', 'postgres_verbose', 'sql_standard', 'iso_8601']",postgres,postgres,,,False
129,jit,on,,Query Tuning / Other Planner Options,Allow JIT compilation.,,user,bool,default,,,,on,on,,,False
130,jit_above_cost,100000,,Query Tuning / Planner Cost Constants,Perform JIT compilation if query is more expensive.,-1 disables JIT compilation.,user,real,default,-1,1.79769e+308,,100000,100000,,,False
131,jit_debugging_support,off,,Developer Options,Register JIT-compiled functions with debugger.,,superuser-backend,bool,default,,,,off,off,,,False
132,jit_dump_bitcode,off,,Developer Options,Write out LLVM bitcode to facilitate JIT debugging.,,superuser,bool,default,,,,off,off,,,False
133,jit_expressions,on,,Developer Options,Allow JIT compilation of expressions.,,user,bool,default,,,,on,on,,,False
134,jit_inline_above_cost,500000,,Query Tuning / Planner Cost Constants,Perform JIT inlining if query is more expensive.,-1 disables inlining.,user,real,default,-1,1.79769e+308,,500000,500000,,,False
135,jit_optimize_above_cost,500000,,Query Tuning / Planner Cost Constants,Optimize JIT-compiled functions if query is more expensive.,-1 disables optimization.,user,real,default,-1,1.79769e+308,,500000,500000,,,False
136,jit_profiling_support,off,,Developer Options,Register JIT-compiled functions with perf profiler.,,superuser-backend,bool,default,,,,off,off,,,False
137,jit_provider,llvmjit,,Client Connection Defaults / Shared Library Preloading,JIT provider to use.,,postmaster,string,default,,,,llvmjit,llvmjit,,,False
138,jit_tuple_deforming,on,,Developer Options,Allow JIT compilation of tuple deforming.,,user,bool,default,,,,on,on,,,False
139,join_collapse_limit,8,,Query Tuning / Other Planner Options,Sets the FROM-list size beyond which JOIN constructs are not flattened.,The planner will flatten explicit JOIN constructs into lists of FROM items whenever a list of no more than this many items would result.,user,integer,default,1,2147483647,,8,8,,,False
140,krb_caseins_users,off,,Connections and Authentication / Authentication,Sets whether Kerberos and GSSAPI user names should be treated as case-insensitive.,,sighup,bool,default,,,,off,off,,,False
141,krb_server_keyfile,FILE:/usr/local/etc/postgresql/krb5.keytab,,Connections and Authentication / Authentication,Sets the location of the Kerberos server key file.,,sighup,string,default,,,,FILE:/usr/local/etc/postgresql/krb5.keytab,FILE:/usr/local/etc/postgresql/krb5.keytab,,,False
142,lc_collate,en_US.utf8,,Preset Options,Shows the collation order locale.,,internal,string,override,,,,C,en_US.utf8,,,False
143,lc_ctype,en_US.utf8,,Preset Options,Shows the character classification and case conversion locale.,,internal,string,override,,,,C,en_US.utf8,,,False
144,lc_messages,en_US.utf8,,Client Connection Defaults / Locale and Formatting,Sets the language in which messages are displayed.,,superuser,string,configuration file,,,,,en_US.utf8,/var/lib/postgresql/data/postgresql.conf,710.0,False
145,lc_monetary,en_US.utf8,,Client Connection Defaults / Locale and Formatting,Sets the locale for formatting monetary amounts.,,user,string,configuration file,,,,C,en_US.utf8,/var/lib/postgresql/data/postgresql.conf,712.0,False
146,lc_numeric,en_US.utf8,,Client Connection Defaults / Locale and Formatting,Sets the locale for formatting numbers.,,user,string,configuration file,,,,C,en_US.utf8,/var/lib/postgresql/data/postgresql.conf,713.0,False
147,lc_time,en_US.utf8,,Client Connection Defaults / Locale and Formatting,Sets the locale for formatting date and time values.,,user,string,configuration file,,,,C,en_US.utf8,/var/lib/postgresql/data/postgresql.conf,714.0,False
148,listen_addresses,*,,Connections and Authentication / Connection Settings,Sets the host name or IP address(es) to listen to.,,postmaster,string,configuration file,,,,localhost,*,/var/lib/postgresql/data/postgresql.conf,60.0,False
149,lo_compat_privileges,off,,Version and Platform Compatibility / Previous PostgreSQL Versions,Enables backward compatibility mode for privilege checks on large objects.,"Skips privilege checks when reading or modifying large objects, for compatibility with PostgreSQL releases prior to 9.0.",superuser,bool,default,,,,off,off,,,False
150,local_preload_libraries,,,Client Connection Defaults / Shared Library Preloading,Lists unprivileged shared libraries to preload into each backend.,,user,string,default,,,,,,,,False
151,lock_timeout,0,ms,Client Connection Defaults / Statement Behavior,Sets the maximum allowed duration of any wait for a lock.,A value of 0 turns off the timeout.,user,integer,default,0,2147483647,,0,0,,,False
152,log_autovacuum_min_duration,-1,ms,Reporting and Logging / What to Log,Sets the minimum execution time above which autovacuum actions will be logged.,Zero prints all actions. -1 turns autovacuum logging off.,sighup,integer,default,-1,2147483647,,-1,-1,,,False
153,log_checkpoints,off,,Reporting and Logging / What to Log,Logs each checkpoint.,,sighup,bool,default,,,,off,off,,,False
154,log_connections,off,,Reporting and Logging / What to Log,Logs each successful connection.,,superuser-backend,bool,default,,,,off,off,,,False
155,log_destination,stderr,,Reporting and Logging / Where to Log,Sets the destination for server log output.,"Valid values are combinations of ""stderr"", ""syslog"", ""csvlog"", and ""eventlog"", depending on the platform.",sighup,string,default,,,,stderr,stderr,,,False
156,log_directory,log,,Reporting and Logging / Where to Log,Sets the destination directory for log files.,Can be specified as relative to the data directory or as absolute path.,sighup,string,default,,,,log,log,,,False
157,log_disconnections,off,,Reporting and Logging / What to Log,"Logs end of a session, including duration.",,superuser-backend,bool,default,,,,off,off,,,False
158,log_duration,off,,Reporting and Logging / What to Log,Logs the duration of each completed SQL statement.,,superuser,bool,default,,,,off,off,,,False
159,log_error_verbosity,default,,Reporting and Logging / What to Log,Sets the verbosity of logged messages.,,superuser,enum,default,,,"['terse', 'default', 'verbose']",default,default,,,False
160,log_executor_stats,off,,Statistics / Monitoring,Writes executor performance statistics to the server log.,,superuser,bool,default,,,,off,off,,,False
161,log_file_mode,0600,,Reporting and Logging / Where to Log,Sets the file permissions for log files.,The parameter value is expected to be a numeric mode specification in the form accepted by the chmod and umask system calls. (To use the customary octal format the number must start with a 0 (zero).),sighup,integer,default,0,511,,384,384,,,False
162,log_filename,postgresql-%Y-%m-%d_%H%M%S.log,,Reporting and Logging / Where to Log,Sets the file name pattern for log files.,,sighup,string,default,,,,postgresql-%Y-%m-%d_%H%M%S.log,postgresql-%Y-%m-%d_%H%M%S.log,,,False
163,log_hostname,off,,Reporting and Logging / What to Log,Logs the host name in the connection logs.,"By default, connection logs only show the IP address of the connecting host. If you want them to show the host name you can turn this on, but depending on your host name resolution setup it might impose a non-negligible performance penalty.",sighup,bool,default,,,,off,off,,,False
164,log_line_prefix,%m [%p] ,,Reporting and Logging / What to Log,Controls information prefixed to each log line.,"If blank, no prefix is used.",sighup,string,default,,,,%m [%p] ,%m [%p] ,,,False
165,log_lock_waits,off,,Reporting and Logging / What to Log,Logs long lock waits.,,superuser,bool,default,,,,off,off,,,False
166,log_min_duration_sample,-1,ms,Reporting and Logging / When to Log,Sets the minimum execution time above which a sample of statements will be logged. Sampling is determined by log_statement_sample_rate.,Zero logs a sample of all queries. -1 turns this feature off.,superuser,integer,default,-1,2147483647,,-1,-1,,,False
