,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger
35,230,4,11395485,43,2,11,474703,25,645,279
36,165,6,67750165,109,14,13,283016,169,750,9
37,108,4,89655221,29,7,5,131321,92,92,161
38,97,2,110032009,94,7,14,425854,61,242,457
39,227,7,3319248,72,8,5,302947,233,697,793
40,185,8,95046263,16,14,13,239317,190,352,309
41,124,9,4836856,63,8,11,161499,173,353,733
42,56,2,117899892,128,5,12,421810,141,992,873
43,207,3,10156684,72,26,6,466253,56,57,306
44,108,8,4223826,100,22,14,249681,51,731,519
45,155,7,51527767,93,25,12,406305,78,970,403
46,147,7,74972884,72,25,5,162415,226,431,625
47,255,6,128263018,13,12,5,80326,174,566,218
48,244,7,32797080,124,4,9,15175,226,618,423
49,177,1,120283704,53,16,12,63539,133,217,645
50,218,3,9244954,63,19,14,154005,198,880,895
51,248,4,35203206,24,12,5,166848,222,953,239
52,135,6,7239870,37,7,6,181031,248,260,666
53,152,4,61654282,32,31,9,359700,30,980,792
54,177,3,55949303,17,13,11,198552,110,585,19
55,169,2,93435083,26,20,13,475455,136,173,115
56,81,7,25990020,119,4,12,294786,132,590,176
57,5,1,125383027,8,31,14,328386,231,662,454
58,225,7,112272101,53,26,12,374990,216,653,632
59,82,9,82958660,39,10,7,33509,17,780,604
60,150,1,30852447,98,13,13,472548,9,655,827
61,55,3,73473845,84,22,12,181533,186,294,265
62,209,10,77510788,75,14,6,256474,38,780,481
63,73,9,57686445,52,4,8,133331,208,520,648
64,192,2,110717816,111,26,13,305194,204,371,434
65,6,5,126595343,24,6,10,483394,172,172,65
66,118,5,15990926,75,13,13,33064,15,821,68
67,35,6,36146871,47,9,5,292632,183,679,824
68,177,4,115654051,40,7,11,233035,207,313,993
69,95,3,79753076,81,6,12,122362,48,622,75
70,205,2,29743139,66,5,12,428173,158,414,338
71,107,9,100234201,51,8,6,448936,181,418,260
72,77,2,21560474,127,7,7,212373,218,365,57
73,172,1,59664406,65,19,10,412517,81,2,326
74,135,7,118767589,54,31,13,195859,136,88,273
75,169,8,53201863,20,28,8,188975,61,114,627
76,171,8,75348987,36,10,10,83469,213,661,124
77,37,7,99099275,56,10,7,453643,201,129,680
78,27,2,24258741,25,13,11,235360,112,356,284
79,82,2,118305308,87,26,13,6539,18,861,389
80,19,9,62607389,72,24,7,74352,119,177,129
81,9,9,97208266,37,25,11,139693,77,332,386
82,198,1,125102250,66,17,8,404799,45,965,563
83,93,6,77281827,54,21,5,211338,94,922,959
84,254,2,96902547,77,18,12,200832,82,407,340
85,139,7,13513100,40,13,13,27450,222,727,688
86,194,5,64153399,100,30,8,194787,35,211,710
87,59,4,84632579,110,11,14,479343,18,453,1000
88,58,3,45359862,13,28,7,264089,198,699,1014
89,238,10,88773186,66,9,10,159717,78,178,422
90,133,5,10361360,35,20,12,48244,164,841,797
91,252,2,22480948,86,16,7,220642,115,572,476
92,199,1,44503415,122,6,13,124766,115,717,25
93,112,3,61847067,126,10,6,484342,223,818,525
94,229,6,44626892,43,32,6,461701,160,1020,550
95,187,2,37579245,85,11,14,408238,214,1009,276
96,21,5,60567548,68,4,9,191223,151,883,606
97,36,8,66051076,4,6,7,212254,61,79,320
98,206,6,40608141,108,23,12,294241,209,821,435
99,83,3,111501270,125,30,12,287918,124,147,185
100,136,7,127765044,3,14,14,262810,180,511,467
101,236,2,63063519,28,22,8,452835,150,375,844
102,207,2,122316983,10,11,8,85844,78,431,857
103,14,7,6237876,112,15,5,23074,4,817,420
104,37,8,96219269,55,21,8,465914,7,416,507
105,60,3,113964516,58,22,13,421371,117,581,757
106,17,6,114601772,70,16,10,92908,6,145,29
107,197,7,22465011,121,18,9,219687,190,699,256
108,137,3,25517375,46,10,5,206565,113,407,761
109,36,6,88966697,6,19,11,95417,212,182,460
110,244,5,4724224,41,29,14,244113,115,695,378
111,65,8,51540118,60,12,7,410394,138,362,407
112,159,1,28771194,117,19,5,390148,207,563,516
113,163,8,79163783,76,2,8,249375,221,217,144
114,204,3,11208794,118,24,11,143840,125,912,354
115,22,2,79878956,125,9,12,340532,154,369,101
116,226,2,102739233,97,1,12,490691,205,698,196
117,202,1,116179373,70,31,6,229783,197,705,56
118,155,4,63641175,39,25,10,337562,219,904,540
119,145,9,7548355,54,25,5,259551,132,583,385
120,151,9,106367190,97,12,11,322931,162,890,701
121,128,9,2641329,45,12,5,484821,39,912,573
122,168,4,77786334,77,29,11,314988,94,988,136
123,71,3,89425913,7,21,10,381087,246,728,700
124,129,3,97943838,43,4,5,354104,7,261,616
125,141,4,82558,52,21,12,38028,88,493,512
126,156,8,125015506,116,22,5,79160,11,203,533
127,207,6,77810437,86,25,8,309480,88,794,878
128,148,8,129166430,64,17,8,11506,3,246,254
129,248,2,120142065,112,9,12,423070,60,224,920
130,197,5,108962417,48,22,5,210060,29,624,299
131,81,8,108239105,2,23,9,344856,84,808,541
132,105,6,5388763,124,4,14,50020,239,657,75
133,166,7,56938912,109,15,13,471725,79,265,264
134,92,5,102791504,66,19,7,8750,62,463,206
135,76,8,20141423,51,29,6,205144,96,477,563
136,177,4,76990858,13,1,5,251410,252,692,372
137,78,8,89450905,21,12,9,374405,66,300,952
138,137,4,10458386,56,16,9,320464,62,450,219
139,88,6,13018539,43,9,10,168253,145,79,858
140,198,10,7824730,11,26,13,72860,179,505,50
141,26,9,30278320,14,14,5,261593,150,115,432
142,220,4,14133984,5,18,9,165966,99,37,58
143,243,5,88483632,78,29,9,406780,210,663,34
144,194,7,32226965,108,14,13,392693,201,493,890
145,86,9,63884612,26,20,9,329164,102,202,344
146,248,10,60245577,70,18,6,19062,37,202,942
147,88,6,39397452,32,29,13,274008,182,897,716
148,59,10,16901128,49,20,9,422106,187,459,944
149,153,2,111473756,91,2,5,294942,106,171,702
150,138,6,83697688,114,7,8,56251,45,862,655
151,173,10,35165971,107,25,6,18938,56,937,394
152,147,2,103191433,32,7,5,173002,171,220,11
153,182,2,15859021,48,18,7,392091,56,579,566
154,189,9,94227795,90,29,12,166900,178,90,640
155,147,5,23930622,45,15,8,314001,136,458,630
156,96,2,62803629,101,31,7,387101,152,653,580
157,226,9,3180960,2,17,11,433830,122,246,937
158,173,7,54787916,41,10,11,410838,117,9,227
159,84,7,99175952,27,24,8,396033,83,222,587
160,45,4,13556675,116,18,6,251747,56,561,460
161,22,1,56319779,23,9,14,76363,232,336,249
162,237,5,35857905,119,19,12,29277,8,825,724
163,89,4,115015293,116,31,14,112634,78,708,676
164,8,5,116567643,80,31,9,492667,156,899,762
165,94,8,2677370,32,18,10,408781,186,481,581
166,173,2,82526996,90,10,8,169465,221,263,559
167,129,6,112145231,25,5,7,304663,197,849,604
168,62,7,8943598,80,19,12,390496,111,154,247
169,241,7,76688850,62,24,5,436389,171,117,53
170,134,6,101396440,119,21,10,218443,164,606,588
171,5,5,112798947,10,7,8,169964,7,377,58
172,130,9,33342643,67,25,6,471390,23,662,729
173,48,7,77125393,48,8,11,230708,228,410,628
174,94,6,79891689,46,15,8,491339,125,607,660
175,173,9,86888199,55,30,7,259209,215,312,384
176,238,4,49825270,18,18,9,146009,123,294,948
177,113,7,93712500,10,13,14,431737,90,807,267
178,253,5,82085842,92,9,14,140789,224,982,815
179,240,7,5944337,107,18,13,31760,192,136,757
180,183,10,121853973,23,6,11,138026,146,609,915
181,242,6,33270482,14,26,5,270362,81,884,937
182,63,7,9084994,71,28,9,300301,173,253,281
183,170,7,82432667,9,9,14,437897,41,339,753
184,126,7,1698200,98,17,9,478620,232,207,223
185,210,5,30709840,99,13,5,370018,144,864,395
186,107,8,2493927,31,25,14,377568,162,86,192
187,16,8,6598914,11,14,6,41543,102,55,905
188,78,8,53825535,63,20,8,165499,214,521,639
189,96,9,7710716,16,8,7,171795,56,517,611
190,64,8,8705427,118,19,6,118544,220,352,7
191,213,2,66218818,27,27,9,43458,209,353,260
192,186,1,54983050,74,28,9,253721,206,507,198
193,247,5,26237239,64,18,14,391517,210,83,184
194,241,2,31269586,116,18,8,325509,106,1014,159
195,69,1,61998368,11,10,8,330442,236,838,600
196,230,2,107446250,72,17,13,205796,65,330,110
197,76,4,33160362,4,11,9,444026,191,363,743
198,70,4,119192698,50,25,12,65885,128,86,728
199,137,3,124413411,68,14,10,336231,206,156,609
200,138,7,71976862,125,10,14,234723,97,116,45
201,23,10,77451200,2,27,6,256537,107,195,52
202,20,8,13141455,92,1,7,446888,44,568,442
203,14,7,10000613,60,4,5,249800,55,332,933
204,155,10,114864699,43,11,9,85457,180,684,46
205,24,10,73487930,33,9,6,382293,52,422,636
206,54,1,124437705,84,19,13,477537,168,6,271
207,247,3,3015687,44,31,6,137473,161,416,166
208,86,9,35890798,37,19,9,230265,55,144,150
209,211,2,39307947,4,1,6,8205,82,240,172
210,96,3,7601133,89,11,5,135683,114,699,846
211,113,7,15507401,28,24,13,20146,158,984,970
212,237,6,6634433,16,26,14,117279,3,946,230
213,95,7,98175676,66,7,11,238667,137,391,894
214,5,4,1021525,28,12,10,181711,164,549,439
215,170,9,70029529,63,3,9,140831,64,1000,526
216,129,6,44238365,48,2,13,284171,89,694,489
217,67,6,48212513,38,9,6,363979,58,197,568
218,172,3,48823639,35,32,11,72529,209,858,678
219,9,8,89280491,22,3,7,267689,170,715,85
220,84,8,58128497,12,3,9,221335,226,121,463
221,18,3,95383560,59,3,13,112278,235,518,993
222,144,8,114714017,122,31,9,214834,37,330,666
223,243,6,46480490,49,29,12,172711,198,904,695
224,158,2,95833908,62,6,10,105240,110,302,527
225,45,7,83262060,5,32,12,142489,254,23,403
226,62,2,101227716,15,12,12,168672,16,818,736
227,105,7,24261428,24,4,5,76136,162,531,720
228,139,2,121511697,121,15,9,166446,237,471,6
229,237,2,75587270,69,4,14,44621,72,469,554
230,234,3,103921793,24,20,10,355543,78,401,241
231,123,6,16135120,117,6,10,481226,232,519,351
232,82,10,88112896,59,29,11,160336,160,867,977
233,157,5,97956385,109,9,14,33547,28,17,594
234,141,6,93730615,60,18,5,129633,36,604,363
235,35,8,128507425,66,21,12,387177,166,682,141
236,207,3,64073075,38,27,9,469824,190,627,306
237,134,4,115524003,2,17,7,352377,6,393,41
238,218,6,82835481,88,15,14,107398,102,999,360
239,35,8,103595330,104,22,11,452154,243,796,447
240,96,6,125213676,121,14,13,179458,38,950,844
241,199,9,102171620,63,14,6,419073,66,181,13
242,196,10,15451348,2,4,13,317452,31,153,961
243,104,5,109225603,59,21,7,63888,41,297,357
244,149,7,13678311,27,3,10,267721,27,332,166
245,124,8,2224606,37,5,9,89568,193,228,528
246,195,5,84833780,112,23,6,448489,44,824,228
247,122,2,35858502,72,5,12,342814,30,752,677
248,62,2,28509918,65,8,11,298134,173,376,654
249,133,4,9999781,100,20,9,400495,101,455,397
250,52,6,51255503,78,7,9,24236,136,485,387
251,132,7,30572581,67,17,14,434328,84,889,768
252,232,2,129179814,8,15,5,322291,119,915,414
253,224,7,128655315,79,13,13,14147,54,706,157
254,147,1,47069990,50,13,13,208966,50,94,14
255,219,3,29116128,122,20,5,180502,235,427,927
256,183,4,66313243,76,3,10,11768,153,810,683
257,56,2,48004291,77,9,6,258569,183,33,16
258,60,5,120858150,73,28,14,155315,59,295,550
259,71,4,94624901,14,21,14,156750,129,656,956
260,185,5,101070524,82,12,13,448236,162,981,791
261,39,6,103408310,114,9,7,59432,213,576,893
262,234,5,34777671,37,24,5,232428,15,396,785
263,111,1,104454777,22,9,12,9112,162,349,144
264,150,9,63795231,108,31,12,496649,64,375,378
265,120,1,17301975,43,31,6,260315,154,276,777
266,105,8,115275554,23,4,7,278585,183,902,492
267,132,4,54076999,114,11,10,25830,31,367,725
268,128,7,59175548,120,14,8,252348,29,735,860
269,212,2,6792812,21,6,13,315526,215,394,670
270,161,6,59633819,17,30,9,382174,128,323,295
271,20,7,65298450,47,14,8,449107,193,344,863
272,125,1,107982833,103,26,14,225835,3,708,477
273,85,10,123760651,17,32,10,402702,102,301,163
274,243,2,47298305,99,3,13,383184,148,319,532
275,158,10,37446324,50,2,7,19457,256,212,992
276,88,1,68935494,78,12,5,308456,42,842,148
277,216,10,68789975,13,14,6,220378,255,93,635
278,13,5,94305852,17,18,5,471032,15,188,144
279,76,9,23748738,87,20,9,476832,107,866,610
280,28,3,4097451,43,12,11,112816,71,636,85
281,170,2,57432886,109,30,5,457791,234,812,470
282,38,3,81818373,28,8,5,381369,166,466,718
283,17,2,6420229,11,26,13,363186,34,1010,375
284,175,3,2561032,98,16,6,470385,56,905,6
285,86,6,9712258,75,18,6,13198,109,196,546
286,174,3,528268,116,24,10,12262,58,786,682
287,11,5,31031511,64,17,13,17453,177,534,96
288,213,9,44104433,8,22,13,52343,3,437,657
289,142,5,117719198,44,1,9,126602,172,944,667
290,152,9,2944196,33,6,10,399050,39,536,140
291,103,4,125896166,107,15,6,224350,170,299,162
292,24,2,52105957,33,6,13,129675,216,766,137
293,197,7,126487171,4,8,6,365109,153,229,166
294,63,5,58652665,92,11,5,384974,212,470,937
295,221,7,35294150,73,20,13,185485,49,909,38
296,244,1,58113942,126,12,7,323954,171,665,229
297,23,7,50035682,107,5,10,482831,203,463,29
298,115,3,54088891,84,4,5,1585,51,454,381
299,209,3,50496131,66,30,14,3716,233,1003,81
300,92,4,88068868,118,9,5,447376,252,690,276
301,242,2,127462889,78,6,14,313739,25,833,145
302,152,2,30770945,83,21,11,250578,246,89,876
303,69,8,94730971,75,32,6,259532,217,379,757
304,219,8,91031709,11,18,11,49180,82,645,254
305,233,4,105541096,110,17,13,476286,29,340,213
306,7,6,37928017,34,25,10,175729,177,101,840
307,33,8,80631124,2,29,5,196503,99,581,994
308,41,2,77689351,54,6,11,489838,115,764,760
309,22,4,94903689,93,4,7,390388,205,549,32
310,213,8,53193626,18,9,8,81389,12,821,471
311,188,4,13644123,79,20,5,263252,81,741,557
312,91,8,124722047,46,31,14,200571,241,395,754
313,207,9,70103875,68,4,14,220955,246,582,365
314,179,4,108603853,88,11,7,44998,50,114,699
315,239,2,57306734,93,30,8,429389,85,383,1006
316,204,8,117342987,64,8,9,178745,198,606,381
317,232,2,95512693,94,11,7,167076,56,167,688
318,253,7,117250414,50,5,10,81091,135,515,31
319,81,9,15412485,117,11,12,127869,183,819,899
320,65,8,67372698,106,25,6,476132,182,554,1002
321,157,7,127535078,90,12,5,378347,111,892,1002
322,188,5,86289952,25,28,6,340087,24,133,649
323,121,2,58156223,110,31,9,258567,20,678,193
324,22,2,60339498,34,22,6,362566,242,273,591
325,210,6,41320877,67,15,7,288052,190,590,929
326,165,2,13552114,91,23,6,120111,128,923,290
327,33,6,52873505,35,27,10,409524,163,1011,127
328,134,8,7959405,27,32,6,345634,128,637,203
329,35,3,60826441,120,9,7,112884,122,236,932
330,201,8,2125398,72,29,8,238800,72,259,545
331,52,6,36357621,106,5,7,136597,144,150,315
332,237,8,113012054,103,24,10,27611,57,680,65
333,18,2,116211456,5,10,5,458186,117,91,656
334,77,5,59527070,79,21,6,297739,218,10,748
335,45,3,73434117,17,15,5,195140,149,141,873
336,166,3,102925407,87,23,11,371562,50,15,981
337,159,2,1255394,125,8,13,261574,211,236,295
338,3,2,76815586,51,20,9,298230,217,957,248
339,230,9,2209882,15,4,7,158026,45,781,417
340,197,3,19646579,91,16,11,52470,191,744,922
341,140,7,14510111,36,17,8,182335,197,459,382
342,129,2,111292729,24,27,12,219837,90,882,916
343,169,7,70793710,12,21,14,245451,54,917,929
344,185,7,45426431,75,17,14,260287,190,152,66
345,62,4,62225716,105,26,6,341767,205,147,648
346,61,5,23682260,82,14,10,369329,239,809,38
347,11,7,46473159,31,10,13,474974,151,658,740
348,183,6,31960157,21,18,6,344140,146,637,405
349,95,3,9590702,78,5,8,494834,207,105,321
350,156,4,103492934,48,17,9,54082,202,513,658
351,64,8,82197210,110,10,7,63738,70,650,344
352,222,8,85994715,87,14,12,385250,154,931,994
353,174,5,120200965,84,4,6,459847,21,334,93
354,77,9,77560116,11,29,8,88593,251,833,922
355,158,1,9135030,122,13,10,105741,83,334,52
356,101,6,119886292,72,2,14,269731,42,982,211
357,183,2,5831745,20,30,10,394890,206,869,678
358,165,10,16473582,54,1,7,217506,92,405,536
359,185,4,89278921,23,22,6,449477,92,651,985
360,133,4,71871764,101,8,8,336184,66,157,294
361,3,6,127991679,53,5,7,320090,164,111,114
362,151,10,69604428,111,14,11,183364,60,298,79
363,140,1,32406528,54,16,7,364285,127,999,674
364,238,5,126840141,66,3,14,281782,63,825,383
365,84,8,47262006,74,14,11,242023,183,557,560
366,172,4,120200772,98,5,13,366367,34,222,605
367,232,8,117263652,15,5,6,316648,241,10,378
368,244,3,86459367,102,4,12,16000,80,632,976
369,151,6,110418914,119,15,13,371896,134,737,844
370,17,6,115720181,117,10,7,167899,163,506,638
371,133,4,100726996,110,24,13,312349,95,645,5
372,194,9,114942070,29,31,5,300217,86,194,996
373,216,5,106328893,16,18,14,463689,198,952,241
374,22,7,74725299,52,6,11,440636,203,916,108
375,148,10,30723351,74,16,6,123460,245,638,960
376,140,5,28779454,38,10,5,450365,14,589,91
377,109,4,8661423,62,11,7,389599,212,79,550
378,206,2,108345104,43,8,9,152217,106,943,837
379,249,3,44049368,71,6,7,293492,158,56,783
380,250,5,60823500,24,31,5,262976,202,160,707
381,99,7,113798847,105,3,10,225790,105,40,814
382,253,3,76016177,53,11,6,113122,177,202,134
383,181,1,79034263,104,32,7,147865,93,956,768
384,237,10,119737928,126,19,11,67908,132,937,931
385,147,3,954919,43,17,13,209801,220,372,796
386,60,6,105802564,4,15,8,456523,139,143,398
387,137,10,8144066,110,18,12,491113,50,346,876
388,43,4,76083346,92,8,8,472397,205,378,333
389,241,2,55645303,24,11,11,70181,48,270,1017
390,130,5,61467743,32,1,12,191351,226,377,787
391,28,10,48250243,82,11,10,118668,4,512,601
392,148,9,68394569,5,31,10,47368,206,440,630
393,38,4,52340249,81,14,13,76236,126,825,755
394,243,7,88565368,101,27,13,329256,244,429,137
395,242,8,102736059,99,11,7,121004,176,337,87
396,186,5,95149771,120,4,8,92031,162,313,242
397,90,8,76386410,32,28,10,26770,98,323,690
398,89,6,120595733,61,27,6,284383,79,581,901
399,91,6,81155099,61,29,9,190594,51,189,458
400,172,7,419807,26,20,12,203366,191,465,376
401,196,1,1331423,126,28,6,155228,136,582,19
402,85,3,81275823,14,13,8,242457,158,69,880
403,22,6,129126795,98,23,8,321387,104,564,323
404,36,10,94626737,93,20,13,151506,1,353,940
405,251,4,27634483,114,3,7,115598,211,927,483
406,155,4,11387550,43,30,5,55141,131,1017,811
407,52,9,13166432,110,19,11,266518,65,407,253
408,122,3,102778080,92,16,12,290299,85,408,880
409,166,9,96597819,123,4,10,435652,72,910,53
410,27,10,114824411,91,11,12,238380,181,425,741
411,19,1,14517469,23,11,6,316774,125,409,1006
412,14,7,35310513,118,6,13,131533,206,664,1010
413,13,7,53655913,9,24,9,451878,182,374,822
414,40,4,119591652,100,19,9,237968,18,804,558
415,50,5,112236928,59,7,9,394621,2,913,280
416,247,10,18146570,124,10,14,253094,83,889,284
417,129,9,66760804,88,25,11,273177,177,575,272
418,11,4,30871451,33,7,10,406396,193,291,109
419,101,8,58576255,36,12,12,38567,226,199,638
420,171,10,104794726,47,30,8,192783,167,976,695
421,251,4,8029209,32,29,6,235832,46,786,215
422,74,7,87538100,68,7,13,481781,168,499,856
423,239,1,58113539,3,17,7,476035,112,66,319
424,3,8,61267876,92,5,7,440324,29,188,362
425,112,1,66801869,23,6,7,437746,79,71,621
426,246,10,69781928,35,7,12,411576,235,837,421
427,117,6,49188095,101,19,12,126877,168,45,920
428,109,3,40111788,100,12,10,476647,255,373,553
429,235,4,116538229,47,22,6,381850,63,716,918
430,229,4,30135627,3,31,8,461532,217,113,413
431,163,1,55496421,48,5,6,357170,216,814,79
432,112,9,45921092,96,20,9,153109,14,95,701
433,26,7,91200535,116,29,9,481628,103,376,829
434,135,5,123341328,119,22,11,107232,46,794,285
435,131,3,48645189,18,25,10,489457,172,528,394
436,33,6,8322920,126,11,5,261089,6,194,285
437,2,3,108750891,45,16,12,171603,233,390,368
438,225,7,41270035,33,2,7,469833,157,473,567
439,177,2,103809019,22,17,13,100840,64,388,745
440,96,2,53626411,26,13,8,101377,43,666,149
441,86,4,23125022,106,19,14,83736,10,945,550
442,30,8,76904373,19,8,14,157511,176,559,609
443,221,10,24247705,5,6,10,360844,71,765,850
444,68,3,11479972,127,26,5,498328,77,779,247
445,71,6,129901751,48,28,6,169508,145,127,147
446,112,2,4252692,4,14,6,354382,70,407,261
447,211,4,34391427,13,29,7,170068,130,479,688
448,251,2,127888632,103,15,13,125814,51,396,109
449,147,4,111997106,79,21,5,444563,214,420,782
450,108,5,33139019,51,16,11,36101,153,385,887
451,11,3,28684583,46,4,14,174446,114,476,858
452,31,8,101158658,84,20,7,168476,27,502,6
453,196,5,18931492,71,2,11,385855,76,844,406
454,107,5,19804956,106,10,8,363998,229,224,756
455,20,10,87693396,31,32,6,149090,186,719,959
456,73,7,110995864,96,7,9,473887,134,594,942
457,218,9,101777335,75,15,14,462178,155,1013,828
458,182,9,118029222,69,29,10,40488,253,702,939
459,254,5,78407784,28,15,8,38024,130,1012,269
460,127,8,82068942,102,14,14,2412,208,332,356
461,178,9,23772405,99,6,9,457690,8,577,315
462,162,2,74124899,101,5,7,118352,168,826,884
463,191,8,3389493,92,29,6,305159,105,976,658
464,104,4,114168022,60,8,12,120088,195,699,394
465,119,6,40526445,128,13,8,199543,229,757,160
466,217,7,123842976,119,17,11,252405,94,624,467
467,242,4,12255456,93,15,8,83182,53,664,72
468,226,5,110372034,37,4,8,316110,72,125,132
469,193,3,3683659,103,5,12,413518,212,22,832
470,185,3,97094290,125,7,12,59536,91,948,187
471,13,4,80968696,52,21,6,216693,206,14,446
472,15,9,126693830,80,13,10,479033,60,646,639
473,152,8,45904832,8,28,11,298961,247,151,431
474,11,2,5253168,33,30,11,128620,83,72,1011
475,28,5,12252617,83,23,5,148242,239,69,160
476,240,3,81056374,76,7,14,115686,163,503,80
477,88,2,122779636,90,8,10,301816,92,813,143
478,29,8,66086042,14,28,13,371781,74,784,583
479,20,7,23568892,123,12,12,179232,52,666,920
480,202,7,123617965,68,26,14,128969,206,803,678
481,112,4,118916640,6,22,11,135739,176,320,486
482,7,6,108292763,89,18,14,92901,135,45,741
483,62,9,123246891,45,1,10,28873,17,331,142
484,193,3,48398658,7,18,11,330689,178,354,370
485,150,8,50969368,55,4,11,372953,195,580,803
486,49,9,100876698,85,24,5,172571,244,974,48
487,46,8,101905703,8,25,5,394967,223,18,142
488,251,3,23072588,114,22,11,256921,49,578,168
489,18,4,29575078,121,12,14,199661,51,521,499
490,157,4,108793528,104,18,6,245406,14,450,239
491,222,6,108993196,100,18,9,333675,251,796,610
492,114,7,121470746,50,24,14,105107,184,857,344
493,14,6,19705898,103,1,9,76372,87,142,64
494,30,8,79191153,81,19,10,359524,92,713,895
495,115,8,35546660,50,26,11,260409,169,342,438
496,143,5,52266495,10,5,8,243647,49,308,465
497,68,3,24420583,31,18,7,340381,212,373,674
498,32,2,100521143,95,24,13,8996,219,586,571
499,77,3,28064764,88,26,12,483424,225,773,766
