,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger
201,256,2,130000000,34,8,7.145389937855285,163244,197,371,1
202,256,5,130000000,1,8,6.821737864078067,1,145,253,1
203,256,10,112662666,74,10,5.0,170461,129,68,15
204,256,8,130000000,43,9,6.095591599059677,257280,99,179,70
205,183,5,130000000,25,8,5.0,395843,183,287,44
206,256,5,130000000,49,7,5.36626149429813,61192,169,219,24
207,196,5,130000000,27,8,5.353836398370179,428282,188,326,54
208,256,9,130000000,73,9,5.0,178289,128,33,109
209,189,5,130000000,27,8,5.752061647548864,414232,197,286,57
210,245,8,130000000,38,9,5.820526665775058,402766,152,234,163
211,256,10,130000000,68,10,5.0,294940,165,78,45
212,194,3,109105181,28,8,6.690603715868711,417950,219,208,97
213,174,4,130000000,17,9,5.98650668420392,412740,179,192,36
214,204,5,130000000,17,8,5.689027453378554,410187,181,337,111
215,174,5,130000000,55,7,5.0,219195,197,338,213
216,172,3,104512197,31,8,5.457959964186143,408250,204,196,36
217,216,4,130000000,45,8,5.732427928549902,50195,199,338,25
218,183,2,130000000,70,8,6.456336352744593,28494,186,199,2
219,222,7,130000000,45,8,5.0,388018,177,326,40
220,256,6,130000000,16,8,5.0,214302,238,449,1
221,183,3,124067842,15,8,5.264753060808213,417870,202,270,96
222,184,3,99187371,17,8,5.723422862047488,369752,204,122,169
223,202,9,130000000,88,9,5.0,180136,176,100,121
224,256,10,130000000,88,9,5.0,147241,130,151,38
225,149,4,73376880,18,10,6.577714489934428,412975,226,374,147
226,248,5,130000000,50,8,6.083459535655582,287258,96,157,1
227,196,3,85646540,12,9,5.456140443670575,468082,234,142,6
228,225,8,130000000,44,9,5.0,372301,119,183,94
229,256,9,130000000,114,10,5.0,87784,196,1,1
230,256,8,130000000,53,9,5.0,265246,93,162,1
231,256,10,130000000,69,10,5.0,260073,226,45,319
232,191,2,94930354,29,7,5.9248954532976725,495714,179,196,175
233,256,10,130000000,93,10,5.0,324862,69,1,132
234,256,7,130000000,84,8,5.0,104812,131,210,1
235,186,8,130000000,36,9,5.0,500000,167,104,320
236,223,1,130000000,11,7,6.973463646973926,1,227,279,1
237,256,8,130000000,39,10,5.0,335277,108,120,1
238,190,3,101426138,20,11,5.8492659224471,410647,197,250,108
239,256,2,130000000,19,8,7.938137474877789,43859,140,340,1
240,210,3,113563970,23,8,5.456965921712871,413336,188,172,46
241,227,8,130000000,32,9,5.0,386184,142,318,114
242,235,7,130000000,36,9,5.0,350247,115,186,1
243,195,4,130000000,31,9,5.0,417644,195,280,115
244,256,10,130000000,74,10,5.0,493997,145,1,274
245,187,5,130000000,19,8,5.385741977633576,446131,191,213,99
246,203,6,130000000,72,8,5.0,1,190,253,1
247,256,7,130000000,47,9,5.0,330294,82,118,164
248,235,7,130000000,33,9,5.021834039081022,281447,131,167,72
249,172,5,130000000,23,9,5.049248859549226,427040,183,356,145
250,235,8,130000000,36,9,5.690545262960933,302412,118,248,1
251,256,8,130000000,85,11,5.0,180533,150,193,81
252,237,8,130000000,84,9,5.883817627260385,189222,159,241,51
253,194,3,74543588,25,3,6.240526691298082,444881,201,238,54
254,220,5,130000000,59,8,5.0,120340,245,248,31
255,214,3,90962807,29,7,5.24624752170483,385706,213,322,123
256,193,6,130000000,71,8,6.365042919617316,177051,188,319,92
257,193,7,130000000,29,8,5.386191968879944,410446,167,233,71
258,256,9,130000000,66,9,5.344865693000977,98818,203,264,35
259,256,8,130000000,72,8,5.0,271938,164,178,133
260,182,3,93924331,14,7,6.631301629628727,392411,185,256,3
261,193,1,130000000,34,6,8.829896428597749,1,137,324,1
262,209,4,75950786,36,11,6.699682888670937,391634,185,120,28
263,256,9,130000000,67,9,5.267526316110159,1,153,26,1
264,196,4,130000000,22,8,5.046013055367426,433639,177,300,36
265,229,9,130000000,43,9,5.641089296625909,375323,101,316,1
266,256,7,130000000,42,9,5.0,306045,102,291,65
267,208,5,130000000,43,8,7.040029593144093,74323,212,276,215
268,203,6,130000000,37,9,5.477374265531318,430178,154,264,51
269,256,8,130000000,42,9,5.741105831893295,279310,67,1,1
270,191,5,130000000,18,9,5.470289240690084,367484,203,251,26
271,222,8,130000000,42,8,5.292799499948442,320159,92,231,120
272,1,10,1,128,25,15.0,1,1,1024,1024
273,256,8,130000000,38,10,5.0,500000,149,64,111
274,174,5,130000000,52,7,5.740590385282152,76408,216,237,122
275,199,5,130000000,27,8,5.0,395912,182,235,135
276,256,8,130000000,45,8,5.0,326039,106,127,1
277,256,8,130000000,85,9,5.0,272588,126,47,1
278,237,7,130000000,32,8,5.0,447089,148,266,53
279,256,5,130000000,75,9,7.1442780172031615,1,178,150,1
280,242,10,130000000,28,8,5.0,347539,127,214,66
281,216,8,130000000,30,9,5.0,442603,183,248,34
282,256,8,130000000,61,9,5.0,293724,163,100,1
283,206,6,130000000,38,9,5.134662979380028,429641,182,254,70
284,256,9,130000000,91,9,6.433346901836092,131785,168,106,1
285,220,8,130000000,35,9,5.455452416587532,346721,141,220,64
286,196,8,130000000,43,8,5.0,458217,166,286,106
287,184,4,130000000,25,8,5.724134047128076,398500,179,260,122
288,178,5,130000000,40,7,5.851713380604871,155912,178,335,1
289,216,8,130000000,37,9,5.0,233795,52,158,1
290,156,4,130000000,65,9,6.568132799624039,1,256,369,1
291,188,4,130000000,52,8,5.789043260272159,170717,191,215,62
292,234,9,130000000,39,9,5.0,352303,120,161,48
293,206,6,130000000,32,8,5.041764043576368,401969,169,219,125
294,220,3,130000000,76,6,6.587520177206699,1,206,401,8
295,196,2,88759555,23,11,6.1368112280900435,390260,204,275,31
296,256,7,130000000,37,9,5.0,311827,77,157,1
297,195,3,130000000,24,7,8.395849351280132,1,131,249,1
298,175,6,130000000,66,6,6.8928125862084215,136941,228,133,1
299,256,8,130000000,71,9,5.0,202908,167,101,1
300,198,10,130000000,89,32,5.0,431352,163,580,1
301,216,3,130000000,40,24,13.544137396398336,1,1,1024,663
302,209,3,130000000,52,32,15.0,1,1,1024,1024
303,256,10,130000000,128,21,8.841203937016811,500000,128,759,1
304,256,8,130000000,81,27,8.958413696539566,302346,86,1024,510
305,256,7,130000000,128,24,5.0,303800,1,674,1
306,256,10,130000000,105,25,5.257387983209493,500000,229,192,1
307,256,10,130000000,102,32,5.0,311318,1,887,170
308,256,10,130000000,88,32,14.087291352298864,260999,34,1024,607
309,256,7,130000000,128,30,5.0,317947,53,705,1
310,256,7,130000000,120,32,5.0,186396,55,586,1
311,256,10,130000000,94,32,7.067561096117661,159945,110,1024,561
312,255,10,130000000,128,31,6.9867394522417365,414899,1,899,1
313,256,8,130000000,128,32,5.0,320793,1,781,205
314,256,9,130000000,113,32,6.969761770863145,375923,1,826,118
315,256,8,118486554,86,30,13.078632458943757,179952,52,1024,595
316,256,10,130000000,128,31,6.9964061902535315,414707,1,901,131
317,256,5,130000000,128,24,7.229267259859512,213563,1,1024,1
318,256,10,130000000,128,28,8.49519521282821,500000,256,575,466
319,256,7,130000000,103,28,5.208540276547057,245431,84,663,1
320,210,2,130000000,26,30,12.445147802561019,62109,1,740,874
321,247,9,130000000,110,27,5.0,353911,17,899,121
322,256,10,130000000,128,31,6.989296831057585,415041,37,901,1
323,207,10,130000000,95,23,5.0,372897,1,621,1
324,256,6,120802757,119,28,5.0,270424,60,701,1
325,127,4,11806507,9,8,11.256219310262626,286175,247,666,1020
326,256,10,130000000,74,29,5.567689477012538,275920,156,752,416
327,256,10,130000000,128,32,7.359939821323763,318936,1,761,1
328,256,10,130000000,72,23,7.434485594895095,307156,1,825,1
329,183,9,130000000,77,32,12.256332283400276,247022,105,907,565
330,256,10,130000000,128,32,9.468559007964885,377434,1,1024,364
331,256,8,130000000,68,32,15.0,60113,1,713,957
332,256,10,130000000,128,32,9.189158652934106,449414,1,961,1
333,256,5,130000000,47,22,15.0,148871,1,992,914
334,256,10,130000000,117,24,14.248634966445337,286701,86,1024,807
335,256,4,130000000,75,32,15.0,183573,1,1024,968
336,217,2,130000000,62,26,15.0,1,1,1024,933
337,256,10,130000000,110,31,11.705374793507863,294391,144,1021,412
338,256,10,110364693,128,32,6.957589443369634,416625,1,908,1
339,206,3,130000000,40,27,10.849230738119157,98805,102,1024,1024
340,241,9,130000000,109,29,9.216355574445384,423833,22,790,135
341,256,6,130000000,128,32,5.0,286846,133,541,1
342,256,10,130000000,90,26,10.558017384901625,132011,104,779,294
343,231,8,130000000,116,32,5.0,305138,1,975,1
344,256,5,130000000,50,32,15.0,1,107,1024,703
345,256,8,130000000,101,32,5.486715337083229,351307,1,679,1
346,256,3,130000000,49,26,10.233913382962184,1,1,1024,1024
347,256,7,130000000,80,29,8.74212046361065,119657,126,1024,341
348,256,8,130000000,109,27,6.947375754926032,315341,66,797,1
349,256,9,130000000,128,26,5.0,322694,63,471,96
350,256,10,130000000,79,32,10.350823186378207,423059,1,871,1
351,256,7,130000000,60,24,5.0,156039,34,723,283
352,256,10,130000000,128,32,5.0,482626,173,865,1
353,256,8,130000000,128,32,6.951406986373136,417045,1,909,1
354,256,10,130000000,128,29,6.823718522749902,312741,256,735,1
355,198,10,128411455,128,32,6.912032270053787,418753,1,919,1
356,256,10,130000000,111,28,5.0,371311,1,769,1
357,210,6,130000000,128,29,5.0,267713,73,586,1
358,256,10,130000000,107,32,5.0,399526,67,762,1
359,256,10,130000000,98,27,8.540408247531094,323201,69,886,303
360,256,10,130000000,128,25,7.415461414369769,422058,1,860,1
361,227,3,130000000,69,25,11.726174691835226,90850,1,848,825
362,256,10,130000000,128,32,6.0406948817737725,493992,1,707,1
363,256,4,130000000,84,32,10.183865338484948,121114,1,837,235
364,256,6,130000000,128,30,8.382007006810534,341814,42,642,1
365,256,10,130000000,89,23,5.0,273872,82,1024,1
366,256,7,130000000,128,32,7.951065377053135,429522,1,563,341
367,249,10,130000000,128,19,5.0,419647,208,629,1
368,256,8,130000000,128,32,5.0,304369,80,865,152
369,237,10,130000000,128,32,7.651432390201586,363746,1,1024,173
370,256,9,130000000,115,30,8.521238181069371,299625,6,1024,63
371,256,5,130000000,113,29,5.0,361240,56,460,1
372,256,10,130000000,128,30,5.0,396017,1,1024,1
373,183,4,130000000,50,28,12.579837926818733,30424,1,1024,908
374,256,6,130000000,88,28,12.836291679584455,99903,1,1024,553
375,256,6,130000000,128,25,5.0,370501,71,831,1
376,256,10,130000000,128,23,13.204095697757692,352486,1,967,210
377,256,5,130000000,93,31,5.0,175802,146,942,65
378,256,6,130000000,123,26,5.602870177048816,236434,57,640,145
379,256,6,130000000,41,32,13.313092590879664,75991,1,1024,933
380,256,10,130000000,77,32,7.772910934661803,351972,90,1024,1
381,256,8,130000000,128,28,5.0,326263,36,795,1
382,256,6,130000000,128,32,12.922131903553618,304326,87,1024,161
383,256,4,130000000,125,32,5.0,272937,36,820,1
384,256,7,130000000,75,32,12.199336725081716,208856,135,754,659
385,256,10,130000000,62,30,5.0,323117,1,1024,1
386,256,5,130000000,124,30,5.0,185961,75,575,24
387,256,9,130000000,111,28,6.457280785746985,500000,12,1024,104
388,256,10,130000000,128,28,10.305393464616019,464076,224,621,1
389,256,10,130000000,79,27,9.270299016686707,232678,97,920,470
390,172,10,130000000,128,23,7.618692882602472,500000,218,429,1
391,256,4,130000000,121,32,8.928300951525966,90816,108,819,662
392,256,4,130000000,125,22,5.0,193535,117,555,1
393,256,8,130000000,128,26,5.0,221766,68,874,1
394,256,10,130000000,83,21,5.0,413525,131,534,1
395,256,10,130000000,109,31,6.993529422693603,415046,1,900,1
396,256,10,130000000,128,19,5.0,205697,1,919,189
397,206,4,130000000,69,25,13.75122544571763,1,1,785,1024
398,256,8,130000000,119,32,5.0,394190,70,817,1
399,256,10,130000000,43,25,10.302093089877078,254900,173,1024,346
400,71,4,130000000,106,23,11.87059674038154,92928,173,56,1024
401,148,4,130000000,120,31,13.68251153246681,82911,206,1,787
402,142,1,130000000,91,32,11.630552480792307,70204,202,1,848
403,60,1,130000000,70,14,12.052706456893674,16495,212,995,708
404,1,3,116479974,89,15,13.046940083946453,145756,180,341,1003
405,98,1,130000000,30,17,15.0,308216,79,190,749
406,26,4,130000000,101,22,9.86795407888723,69962,190,457,1000
407,120,2,130000000,52,23,14.377152912806524,242101,69,105,795
408,76,1,130000000,25,9,13.911506140581427,96114,173,798,828
409,91,2,130000000,33,18,14.621947984497467,224358,76,86,754
410,1,2,130000000,31,17,12.961849724517265,181763,146,300,1024
411,116,1,130000000,42,18,14.572112520599589,31179,177,680,825
412,57,1,130000000,42,23,13.813611059396706,198147,63,65,791
413,75,1,130000000,42,21,14.816051471209533,236208,69,53,731
414,75,2,130000000,41,18,14.196675766774119,309413,58,1,741
415,87,1,130000000,35,24,15.0,297154,1,1,437
416,58,2,116940644,38,24,15.0,199710,57,104,770
417,1,5,130000000,80,27,12.340023440598085,151797,133,1,1024
418,100,2,130000000,113,29,11.106833741235882,13288,181,727,1024
419,1,2,130000000,48,13,14.130213840256175,206893,168,83,945
420,116,2,130000000,128,31,11.592168584505181,176337,181,1,768
421,80,1,130000000,39,22,15.0,265664,85,1,839
422,58,2,129227920,41,23,13.94165794128724,198314,63,64,786
423,66,1,130000000,57,11,15.0,1,169,799,980
424,57,1,130000000,23,11,15.0,57825,135,717,894
425,74,1,94627667,51,21,14.348842743967264,251178,81,84,631
426,1,4,130000000,103,22,13.610640514480954,96940,152,341,849
427,36,1,106741597,46,26,14.338163444276589,116377,51,147,710
428,1,1,130000000,72,14,13.767763500025819,126037,146,348,912
429,5,1,130000000,5,1,15.0,101778,185,753,983
430,103,1,130000000,109,13,14.228775149474384,145055,143,459,873
431,46,6,130000000,128,31,11.150146979565346,148750,203,582,1024
432,76,1,104758712,19,21,14.477004117160885,128001,57,22,866
433,104,4,130000000,69,28,13.994100826895687,100860,220,1024,1024
434,27,1,130000000,5,16,15.0,57916,179,937,788
435,6,7,130000000,101,24,10.640353503229871,1,216,713,846
436,116,1,130000000,124,25,10.824453842420786,222670,201,1,1024
437,43,3,130000000,83,15,12.96655515512199,116108,191,358,920
438,74,1,124734944,43,26,14.999897112063818,199155,50,1,743
439,177,1,130000000,109,30,13.365175202581637,162478,197,1,1024
440,73,1,130000000,53,21,15.0,143300,89,1,755
441,38,1,130000000,55,12,13.683203919628882,196405,132,201,1024
442,55,4,130000000,98,15,12.692767211978751,190743,201,509,1024
443,64,2,130000000,42,17,14.340950427912523,261989,102,128,807
444,1,5,130000000,78,26,10.680637990417193,95836,199,1024,1024
445,78,1,130000000,34,25,14.394386080782127,224023,106,1,699
446,96,1,130000000,71,11,11.812061036681426,50370,196,31,691
447,1,3,130000000,73,16,12.66167402030079,77746,179,231,1024
448,15,1,130000000,46,14,14.224332982900737,225828,147,334,887
449,35,3,130000000,69,20,13.554059309596637,235951,91,1,846
450,22,2,130000000,68,13,14.707320950409695,174161,158,346,1024
451,79,1,130000000,39,10,15.0,88476,184,1007,915
452,122,1,130000000,23,12,14.320226155808507,1,160,1024,727
453,41,1,108026115,51,24,14.810949431558205,200716,80,28,917
454,105,2,130000000,65,20,11.838621120692936,75197,193,422,1024
455,56,1,118776436,51,20,14.939291498144653,214489,36,108,847
456,77,1,130000000,40,13,15.0,65395,183,757,773
457,1,1,130000000,33,9,15.0,227021,137,227,952
458,1,3,130000000,100,17,13.127823442569143,201444,149,1,1024
459,40,3,130000000,53,16,13.776383814498253,55702,187,687,831
460,25,1,121150599,35,22,15.0,208063,70,2,738
461,101,2,130000000,97,32,12.21887613078891,134707,203,1,955
462,42,1,107977407,26,27,14.212100818381566,269145,41,124,826
463,1,3,130000000,93,13,12.657936076644276,174569,173,127,763
464,73,1,130000000,44,20,14.52813855322638,316700,83,156,774
465,15,2,130000000,72,20,12.673252818613314,193148,138,254,933
466,1,3,130000000,94,17,12.666756742637155,82847,189,559,1024
467,97,2,130000000,83,20,11.142315803959239,1,208,535,868
468,30,2,130000000,57,19,13.791340215385144,236891,88,1,812
